Escola,Morada,Freguesia,Código Postal,Telefone,Email,Número Agrupamento,Agrupamento,Sede Escola,Número Escolas Agrupadas
"Escola Básica de Corga do Lobão, Santa Maria da Feira",Avª. Igreja,nº303 - Vale,Vale Vfr,256921508,eb1.n1.vale@escolas.min-edu.pt,151178,"Agrupamento de Escolas de Corga do Lobão, Santa Maria da Feira",Não,7
"Escola Básica António Alves de Amorim, Lourosa, Santa Maria da Feira",Av. das Cruzes,Lourosa,4535-011,227646272,eb1.igrejalourosa@escolas.min-edu.pt,150356,"Agrupamento de Escolas António Alves de Amorim, Santa Maria da Feira",Não,8
"Escola Básica de Canedo, Santa Maria da Feira",Rua do Padrão S/N,Lourosa,4535-000,-,-,151294,-,-,-
"Escola Básica Professor Doutor Ferreira de Almeida, Santa Maria da Feira",R.Prémio Nobel da Paz 1996-D. Ximenes Belo,Dr. Ramos Horta,4520-240,256374020,eb23.pdcafalmeida@escolas.min-edu.pt,151660,Agrupamento de Escolas de Santa Maria da Feira,Não,8
Colégio das Terras de Santa Maria,Rua da Azenha,315,Argoncilhe,227648187,cl.terrasstamaria@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica e Secundária de Arrifana, Santa Maria da Feira",Rua Amadeu Joaquim Gonçalves,Arrifana Vfr,3700-420,256812227,servicos@aearrifana.edu.gov.pt,150551,"Agrupamento de Escolas de Arrifana, Santa Maria da Feira",Sim,13
"Escola Básica e Secundária Coelho e Castro, Fiães, Santa Maria da Feira",R. Coelho e Castro,25 Apartado 75,Fiães Vfr,227448501,servicos@aecoelhocastro.edu.gov.pt,151350,"Agrupamento de Escolas Coelho e Castro, Santa Maria da Feira",Sim,8
"Escola Básica Fernando Pessoa, Santa Maria da Feira",Rua 13 de Agosto,Souto Vfr,4520-715,256801610,eb1.valrico@escolas.min-edu.pt,151671,"Agrupamento de Escolas Fernando Pessoa, Santa Maria da Feira",Não,15
"Escola Básica de Argoncilhe, Santa Maria da Feira",Rua das Escolas do Carvalhal,Argoncilhe,4505-122,227640650,eb1.ceb1argoncilhe@escolas.min-edu.pt,151282,"Agrupamento de Escolas de Argoncilhe, Santa Maria da Feira",Não,11
"Escola Básica de Milheirós de Poiares, Santa Maria da Feira",Rua Casa da Mámoa,nº 182,Milheirós De Poiares,256840300,eb23.mpoiares@escolas.min-edu.pt,150551,"Agrupamento de Escolas de Arrifana, Santa Maria da Feira",Não,13
Colégio de Lamas,Rua Salgueirinha,Lourosa,4535-000,227470210,cl.licealstamlamas@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica de Paços de Brandão, Santa Maria da Feira",Av. Dr. Domingos Coelho,17,São Paio De Oleiros,227443499,eb1.n1.ispaiooleiros@escolas.min-edu.pt,150563,"Agrupamento de Escolas de Paços de Brandão, Santa Maria da Feira",Não,11
Colégio Santa Eulália,Travessa da Rua do Castiis,110,Sanguedo,227471880,-,n.a.,n.a.,n.a.,n.a.
"Escola Básica de Gafanha da Encarnação, Ílhavo",R. da Igreja,Gafanha Do Carmo,3830-408,234391153,eb1.gafanhacarmo@escolas.min-edu.pt,160970,"Agrupamento de Escolas de Gafanha da Encarnação, Ílhavo",Não,8
"Escola Básica de Gafanha da Nazaré, Ílhavo",R. Luís de Camões,Gafanha Da Nazaré,3830-694,234361146,eb1.calevila@escolas.min-edu.pt,160982,"Agrupamento de Escolas de Gafanha da Nazaré, Ílhavo",Não,8
"Escola Básica José Ferreira Pinto Basto, Ílhavo",Rua Gabriel Ançã,3830-197,Ílhavo,234329810,eb23.ilhavo@escolas.min-edu.pt,160994,Agrupamento de Escolas de Ílhavo,Não,9
"Escola Básica n.º 2 de Pampilhosa, Mealhada",Rua do Rio de Cima,Pampilhosa,3050-415,231940928,-,161007,Agrupamento de Escolas de Mealhada,Não,15
Escola Básica n.º 2 de Mealhada,Rua do Areeiro nº114,Barcouço,3050-094,239914806,eb1.barcouco@escolas.min-edu.pt,161007,Agrupamento de Escolas de Mealhada,Não,15
"Escola Básica de Torreira, Murtosa",Av. da Circunvalação,Torreira,3870-336,234830010,ebiji.torreira@escolas.min-edu.pt,161020,Agrupamento de Escolas de Murtosa,Não,4
"Escola Básica e Secundária Padre António Morais da Fonseca, Murtosa",Rua da Saldida-Monte - Apartado 11,3870-153,Murtosa,234830020,servicos@aemurtosa.edu.gov.pt,161020,Agrupamento de Escolas de Murtosa,Sim,4
"Escola Básica Dr. José Pereira Tavares, Pinheiro da Bemposta, Oliveira de Azeméis",Rua Padre Bernardo Xavier Coutinho,Pinheiro Da Bemposta,3720-464,256990170,eb23.djptavares@escolas.min-edu.pt,151609,"Agrupamento de Escolas de Loureiro, Oliveira de Azeméis",Não,9
"Escola Básica de Loureiro, Alumieira, Oliveira de Azeméis",Rua do Borão,Loureiro Oaz,3720-051,256691388,eb1.aloureiro@escolas.min-edu.pt,151609,"Agrupamento de Escolas de Loureiro, Oliveira de Azeméis",Não,9
"Escola Básica e Secundária Ferreira de Castro, Oliveira de Azeméis",Rua Dr. Silva Lima - Lações de Cima,3720-298,Oliveira de Azeméis,256666070,servicos@aeoliveira-azemeis.edu.gov.pt,153047,"Agrupamento de Escolas Ferreira de Castro, Oliveira de Azeméis",Sim,7
"Escola Básica Comendador Ângelo Azevedo, Oliveira de Azeméis",Rua das Sardinheiras nº 10 - Apartado 60,Vila De Cucujães,3720-904,-,-,151324,"Agrupamento de Escolas Doutor Ferreira da Silva, Oliveira de Azeméis",Não,8
"Escola Básica e Secundária Soares Basto, Oliveira de Azeméis",Rua General Humberto Delgado,3720-254,Oliveira de Azeméis,256600590,servicos@soaresbasto.edu.gov.pt,151658,"Agrupamento de Escolas Soares Basto, Oliveira de Azeméis",Sim,6
"Escola Básica e Secundária de Fajões, Oliveira de Azeméis",Rua Profº Veiga Simão,Fajões,3700-355,256850450,servicos@aefajoes.edu.gov.pt,151348,"Agrupamento de Escolas de Fajões, Oliveira de Azeméis",Sim,10
"Escola Básica de Carregosa, Oliveira de Azeméis",Avenida da República,nº 217 - Apartado 23 - PC Carregosa,Carregosa,256410450,eb23.carregosa@escolas.min-edu.pt,151348,"Agrupamento de Escolas de Fajões, Oliveira de Azeméis",Não,10
"Escola Básica e Secundária Dr. Ferreira da Silva, Cucujães, Oliveira de Azeméis",Rua Dr. Ferreira da Silva,Vila De Cucujães,3720-767,256890327,servicos@aefsilva.edu.gov.pt,151324,"Agrupamento de Escolas Doutor Ferreira da Silva, Oliveira de Azeméis",Sim,8
"Escola Básica Dr. Acácio de Azevedo, Oliveira do Bairro",R. Acácio de Azevedo,nº 28,3770-213,234747747,servicos@aeobairro.edu.gov.pt,160568,Agrupamento de Escolas de Oliveira do Bairro,Sim,12
"Escola Básica Dr. Fernando Peixinho, Oiã, Oliveira do Bairro",Rua da Escola C+S,Oiã,3770-059,234729580,eb23.dfpeixinho@escolas.min-edu.pt,160568,Agrupamento de Escolas de Oliveira do Bairro,Não,12
"Escola Básica de Maceda, Ovar",Rua da Escola Primária,Maceda,3885-717,256791114,eb1.estradamaceda@escolas.min-edu.pt,161949,Agrupamento de Escolas de Esmoriz/Ovar Norte,Não,13
"Escola Básica Monsenhor Miguel de Oliveira, Válega, Ovar",R. Padre Eloi Pinho,Válega,3880-514,256503247,eb23.migueloliveira@escolas.min-edu.pt,161950,Agrupamento de Escolas de Ovar Sul,Não,5
"Escola Básica Florbela Espanca, Esmoriz, Ovar",Rua Florbela Espanca,360,Esmoriz,256750410,eb23.florbelaespanca@escolas.min-edu.pt,161949,Agrupamento de Escolas de Esmoriz/Ovar Norte,Não,13
"Escola Básica António Dias Simões, Ovar",Rua José Afonso,3880-001,Ovar,256579150,eb23.adiassimoes@escolas.min-edu.pt,161056,Agrupamento de Escolas de Ovar,Não,13
"Escola Básica de São Vicente de Pereira Jusã, Ovar",Rua Manuel Gomes Oliveira Reis,904,S Vicente De Pereira Jusã,-,-,161950,Agrupamento de Escolas de Ovar Sul,Não,5
"Escola Básica e Secundária Oliveira Júnior, São João da Madeira",Avenida Adelino Amaro da Costa,3700-023,São João da Madeira,256201050,servicos@aeoj.edu.gov.pt,152900,"Agrupamento de Escolas Oliveira Júnior, São João da Madeira",Sim,5
Escola Básica e Secundária de São João da Madeira,Avenida Adelino Amaro da Costa,3700-023,São João da Madeira,256201050,servicos@aeoj.edu.gov.pt,152900,"Agrupamento de Escolas Oliveira Júnior, São João da Madeira",Sim,5
"Escola Básica e Secundária Dr. Serafim Leite, São João da Madeira",R. Manuel Luís da Costa,3700-179,São João da Madeira,256837550,servicos@aesl.edu.gov.pt,153060,"Agrupamento de Escolas Doutor Serafim Leite, São João da Madeira",Sim,3
Centro de Educação Integral,R. Adolfo Coutinho,3700-024,São João da Madeira,256828816,ce.integral@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
Escola Básica e Secundária de Sever do Vouga,Av. Comendador Augusto Martins Pereira,3740-256,Sever do Vouga,234550130,servicos@aesv.edu.gov.pt,161068,Agrupamento de Escolas de Sever do Vouga,Sim,10
"Escola Básica Dr. João Rocha - Pai, Vagos",Rua de São João,3840-429,Vagos,234799730,eb23.drjoaorochapai@escolas.min-edu.pt,161070,Agrupamento de Escolas de Vagos,Não,17
Colégio Diocesano de Nossa Senhora da Apresentação,Rua Padre Baptista,100,Calvão Vgs,234781113,cl.dnsraapresentacao@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica das Dairas, Vale de Cambra",Dairas - S. Pedro de Castelões - Apartado 147,3730-201,Vale de Cambra,256426670,eb23.dairas@escolas.min-edu.pt,151701,"Agrupamento de Escolas de Búzio, Vale de Cambra",Não,15
"Escola Básica e Secundária de Búzio, Vale de Cambra",BUZIO,3730-000,Vale de Cambra,256420700,servicos@aebuzio.edu.gov.pt,151701,"Agrupamento de Escolas de Búzio, Vale de Cambra",Sim,15
"Escola Básica Dr. Manuel Brito Camacho, Aljustrel",Rua de Beja - Apartado 19,7600-032,Aljustrel,284600100,servicos@aealjustrel.edu.gov.pt,135367,Agrupamento de Escolas de Aljustrel,Sim,7
"Escola Básica e Secundária Dr. João Brito Camacho, Almodôvar",R. da Ponte Romana - Apartado 1,7700-018,Almodôvar,286660120,servicos@almodovar.edu.gov.pt,130229,Agrupamento de Escolas de Almodôvar,Sim,7
Escola Básica n.º 1 de Alvito,Casal do Alvito - Gaeiras,Gaeiras,2510-700,-,-,171335,"Agrupamento de Escolas Josefa de Óbidos, Óbidos",Não,14
Escola Básica de Barrancos,Rua de Angola,7230-003,Barrancos,-,-,135010,-,-,-
Externato António Sérgio,Pç. Dr. Carlos Moreira,nº 4,7800-811,284998206,ext.antoniosergio@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica de Santiago Maior, Beja",Avenida Comand. Ramiro Correia,7800-261,Beja,284389230,eb23.santiagomaior@escolas.min-edu.pt,135021,Agrupamento de Escolas n.º 1 de Beja,Não,11
"Escola Básica de Santa Maria, Beja",Rua Fernando Pessoa,s/nº,7800-181,284313000,eb23.stamaria@escolas.min-edu.pt,135021,Agrupamento de Escolas n.º 1 de Beja,Não,11
"Escola Básica Mário Beirão, Beja",R. de Maria Isabel Covas Lima,7800-474,Beja,284311750,eb23.mariobeirao@escolas.min-edu.pt,135379,Agrupamento de Escolas n.º 2 de Beja,Não,6
"Escola Básica Dr. António Colaço, Castro Verde",R. Luís Vaz de Camões,2,7780-197,286320170,eb23.castroverde@escolas.min-edu.pt,135033,Agrupamento de Escolas de Castro Verde,Não,7
"Escola Básica Fialho de Almeida, Cuba",Largo da Feira,7940-000,Cuba,284419920,servicos@aecuba.edu.gov.pt,135045,Agrupamento de Escolas de Cuba,Sim,6
"Escola Básica e Secundária José Gomes Ferreira, Ferreira do Alentejo",R. Infante D. Henrique,7900-647,Ferreira do Alentejo,284738050,servicos@aefa.edu.gov.pt,130242,Agrupamento de Escolas de Ferreira do Alentejo,Sim,8
"Escola Básica e Secundária de São Sebastião, Mértola",Achada de S. Sebastião,7750-335,Mértola,286612802,servicos@aemertola.edu.gov.pt,135616,Agrupamento de Escolas de Mértola,Sim,8
Escola Básica de Moura,Rua do Calvário,Sto Aleixo Da Restauração,7875-172,285965065,eb1.sarestauracao@escolas.min-edu.pt,135057,"Agrupamento de Escolas de Amareleja, Moura",Não,7
"Escola Básica de Amareleja, Moura",Rua do Calvário,Sto Aleixo Da Restauração,7875-172,285965065,eb1.sarestauracao@escolas.min-edu.pt,135057,"Agrupamento de Escolas de Amareleja, Moura",Não,7
"Escola Básica Damião de Odemira, Odemira",Horta dos Reis - Apartado 25,7630-174,Odemira,283320170,eb23.damiaoodemira@escolas.min-edu.pt,135434,Agrupamento de Escolas de Odemira,Não,6
"Escola Básica n.º 1 de Sabóia, Odemira",Luzianes-Gare,Luzianes-Gare,7665-891,283933227,eb1ji.luzianesgare@escolas.min-edu.pt,135082,"Agrupamento de Escolas de Sabóia, Odemira",Não,5
"Escola Básica Aviador Brito Paes, Colos, Odemira",Cerca do Vale da Rosa,Colos,7630-329,283650000,servicos@aecolos.edu.gov.pt,135070,"Agrupamento de Escolas de Colos, Odemira",Sim,4
Colégio de Nossa Senhora da Graça,R. Custódio Brás Pacheco,Vila Nova De Milfontes,7645-256,283996103,cl.nsragraca@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica Engenheiro Manuel R. Amaro da Costa, São Teotónio, Odemira",Alameda dos Combatentes,s/n,São Teotónio,283958291,servicos@aestodemira.edu.gov.pt,135069,"Agrupamento de Escolas de São Teotónio, Odemira",Sim,5
Escola Básica e Secundária de Ourique,Estrada de Garvão,7670-253,Ourique,286510900,servicos@aeourique.edu.gov.pt,135392,Agrupamento de Escolas de Ourique,Sim,6
"Escola Básica n.º 1 de Vila Nova de S. Bento, Serpa",Avenida da Liberdade,Vila Nova De São Bento,7830-055,284580080,eb1.aldeianovasbento@escolas.min-edu.pt,135100,Agrupamento de Escolas n.º 2 de Serpa,Não,7
"Escola Básica de Abade Correia da Serra, Serpa",Rua Dr Edgar Pires Valadas,7830-479,Serpa,284540090,servicos@aeserpa1.edu.gov.pt,135094,Agrupamento de Escolas n.º 1 de Serpa,Sim,6
"Escola Básica de Pias, Serpa",Rua Dr. António Sergio,26,Pias Srp,284850000,ebiji.pias@escolas.min-edu.pt,135094,Agrupamento de Escolas n.º 1 de Serpa,Não,6
"Escola Básica Frei António Chagas, Vidigueira",Estrada da Circunvalação,7960-212,Vidigueira,284437300,servicos@aevid.edu.gov.pt,135112,Agrupamento de Escolas de Vidigueira,Sim,4
Escola Básica de Amares,Rua da Liberdade,2710-022,Sintra,219233623,-,172455,"Agrupamento de Escolas Monte da Lua, Sintra",Não,11
"Escola Básica de Fragoso, Barcelos",Lugar de Cruz,Palme,4905-127,-,-,151245,-,-,-
"Escola Básica Gonçalo Nunes, Arcozelo, Barcelos",Avenida João Duarte,4750-175,Barcelos,253812296,secretaria@aegn.pt,150710,"Agrupamento de Escolas Gonçalo Nunes, Barcelos",Sim,10
"Escola Básica e Secundária Vale d’Este, Viatodos, Barcelos",Rua das Fontainhas,175,Viatodos,252960200,servicos@aevaledeste.edu.gov.pt,151257,"Agrupamento de Escolas de Vale d’Este, Barcelos",Sim,12
"Colégio ""La Salle""",R. Irmãos de La Salle - Barcelinhos,4755-054,Barcelos,253831249,cl.lasalle@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica Rosa Ramalho, Barcelinhos, Barcelos",R. Prof Celestino Costa,4755-058,Barcelos,253831090,servicos@aerosaramalho.edu.gov.pt,150940,"Agrupamento de Escolas Rosa Ramalho, Barcelos",Sim,18
"Escola Básica e Secundária de Vila Cova, Barcelos",Rua Padre Paulino Ribeiro,Vila Cova Bcl,4750-795,253862893,servicos@aevc.edu.gov.pt,150460,"Agrupamento de Escolas de Vila Cova, Barcelos",Sim,4
"Escola Básica e Secundária de Vale do Tamel, Lijó, Barcelos",Rua 25 de Abril,350,Lijó,253808170,servicos@valetamel.edu.gov.pt,150939,"Agrupamento de Escolas de Vale do Tamel, Barcelos",Sim,15
Conservatório de Música de Barcelos,Avenida das Pontes,n.º 221,Tamel (São Veríssimo),253824002,acm.barcelos@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
Colégio Didálvi,Lugar da Igreja,Alvito (São Pedro),4750-085,253881195,didalvi@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica de Manhente, Barcelos",Lugar de Casas Novas,Manhente,4750-557,253849410,eb23.manhente@escolas.min-edu.pt,150137,"Agrupamento de Escolas Alcaides de Faria, Barcelos",Não,10
"Escola Básica Abel Varzim, Barrancos, Barcelos",Lugar de Barrancos,Vila Seca Bcl,4755-556,253852965,eb23.abelvarzim@escolas.min-edu.pt,150927,Agrupamento de Escolas de Barcelos,Não,8
"Escola Básica de Lamaçães, Braga",R. da Escola,nº 19,4715-001,253254389,eb1.n25.braga@escolas.min-edu.pt,150990,"Agrupamento de Escolas Dona Maria II, Braga",Não,10
"Escola Básica Frei Caetano Brandão, Maximinos, Braga",Rua da Naia - Maximinos,4700-137,Braga,253309090,eb23.fcaetanobrandao@escolas.min-edu.pt,150721,"Agrupamento de Escolas de Maximinos, Braga",Não,7
"Externato ""Paulo VI""",Rua de S. Gonçalo,nº 24-30,4710-310,-,-,n.a.,-,-,-
"Escola Básica de Real, Braga",Caminho da Ordem Nº 2,4700-282,Braga,253691233,-,151725,"Agrupamento de Escolas de Real, Braga",Não,9
"Escola Básica de Trigal de Santa Maria, Braga",Lugar de Igreja,4700-895,Parada De Tibães,253286404,eb1.igrejatebosa@escolas.min-edu.pt,150964,"Agrupamento de Escolas de Trigal de Santa Maria, Braga",Não,11
"Escola Básica Dr. Francisco Sanches, Braga",R. Dias da Silva,4700-375,Braga,253264790,eb1.n5.braga@escolas.min-edu.pt,150988,"Agrupamento de Escolas Doutor Francisco Sanches, Braga",Não,7
"Colégio ""D. Diogo de Sousa""",R. Conselheiro Bento Miguel,4710-294,Braga,253201290,cl.ddiogodesousa@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
Colégio João Paulo II,Rua Dr. José Augusto,nº 7,5000-575,934335030,secretaria.vilareal@cjp.com.pt,n.a.,n.a.,n.a.,n.a.
Colégio Leonardo da Vinci,Rua Conselheiro Bento Miguel,nº 10,4710-306,253272149,ext.leonardodavinci@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Externato ""Carvalho Araújo""",Avenida de S.Frutuoso S/N,4700-291,Braga,253300830,ext.carvalhoaraujo@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Artística do Conservatório de Música Calouste Gulbenkian, Braga",Rua da Fundação Gulbenkian,4710-394,Braga,253600540,servicos@cmgulbenkian.edu.gov.pt,404251,"Escola Artística do Conservatório de Música Calouste Gulbenkian, Braga",Não,1
"Escola Básica de Braga Oeste, Cabreiros, Braga",Largo João Martins Oliveira,nº 5,4705-769,253919140,servicos@aebragaoeste.edu.gov.pt,150253,Agrupamento de Escolas de Braga Oeste,Sim,10
"Escola Básica de Nogueira, Braga",R. dos Barreiros-Nogueira,4715-166,Braga,253682355,eb1.n16.braga@escolas.min-edu.pt,150976,"Agrupamento de Escolas Alberto Sampaio, Braga",Não,11
"Escola Básica de Mosteiro e Cávado, Panóias, Braga",Lg de Assento,4700-760,Panoias Brg,253625470,eb1.assentopanoias@escolas.min-edu.pt,151713,"Agrupamento de Escolas de Mosteiro e Cávado, Braga",Não,9
Colégio Alfacoop - Externato Infante  D. Henrique,Avª Comendador Padre David - Lugar de Este,4709-008,Ruílhe,253959000,ext.infantedhenrique@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
Externato Nossa Senhora das Graças,Quinta de Real - Apartado 51,4700-001,Braga,253300010,ext.nsdasgracasbraga@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica de Gualtar, Braga",R. da Escola Nova-Lameira-Gualtar,4710-076,Braga,253678068,eb1.n22.braga@escolas.min-edu.pt,150149,"Agrupamento de Escolas Carlos Amarante, Braga",Não,10
Externato de S. Miguel de Refojos,Praça da República - Refojos,4860-355,Cabeceiras de Basto,253669020,ext.smiguelrefojos@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
Escola Básica e Secundária de Cabeceiras de Basto,Campo do Seco-Refojos,4860-353,Cabeceiras de Basto,253662338,servicos@aecb.edu.gov.pt,150162,Agrupamento de Escolas de Cabeceiras de Basto,Sim,8
"Escola Básica do Arco de Baúlhe, Cabeceiras de Basto",Lugar de Souto,Arco De Baúlhe,4860-082,253665284,eb23.arcobaulhe@escolas.min-edu.pt,150162,Agrupamento de Escolas de Cabeceiras de Basto,Não,8
"Escola Básica de Gandarela, Celorico de Basto",Rua Nossa Senhora da Oliveira Vila de Gandarela de Basto,Basto (São Clemente),4890-542,-,-,151737,Agrupamento de Escolas de Celorico de Basto,Não,18
